id,ticker,insider_name,insider_cik,officer_title,role,transaction_date,transaction_code,transaction_direction,shares,price_per_share,total_value,accession_number,filed_date,sector,role_classified,classification,price_entry,price_30d,price_60d,price_90d,price_120d,price_150d,price_180d,return_30d,return_60d,return_90d,return_120d,return_150d,return_180d,signal_correct_30d,signal_correct_90d,signal_correct_180d,spy_return_30d,spy_return_60d,spy_return_90d,spy_return_120d,spy_return_150d,spy_return_180d,adjusted_return_30d,adjusted_return_60d,adjusted_return_90d,adjusted_return_120d,adjusted_return_150d,adjusted_return_180d,max_drawdown_30d,days_to_min_30d,recovered_by_90d
81b5eb26-f9d8-41e2-b0a6-2d00f177b318,FIX,MYERS FRANKLIN,0001207002,,Director,2015-03-04,P,buy,7500,18.65,139875,0001179110-15-004219,2015-03-04,Industrials,Director,OPPORTUNISTIC,18.649999618530273,20.299999237060547,21.31999969482422,22.850000381469727,23.079999923706055,27.6200008392334,27.719999313354492,8.85,14.32,22.52,23.75,48.1,48.63,true,true,true,-1.14,0.52,0.54,-1.39,-0.21,-5.97,9.99,13.8,21.98,25.14,48.31,54.6,0,0,true
8dd00f0a-2b20-4321-8e01-69d01bb54289,FIX,MYERS FRANKLIN,0001207002,,Director,2015-05-20,P,buy,5916,22.87,135298.92,0001179110-15-008294,2015-05-21,Industrials,Director,OPPORTUNISTIC,22.790000915527344,23.200000762939453,23.6299991607666,29.18000030517578,28.899999618530273,29.770000457763672,30.760000228881836,1.8,3.69,28.04,26.81,30.63,34.97,true,true,true,-0.97,-0.14,-1.36,-6.18,-4.47,-3.41,2.77,3.83,29.4,32.99,35.1,38.38,-2.59,6,true
0fdc7fd7-ea62-4062-a98a-22a8f66529ab,FIX,MYERS FRANKLIN,0001207002,,Director,2015-08-12,P,buy,4500,27.9,125550,0001179110-15-012011,2015-08-12,Industrials,Director,OPPORTUNISTIC,28.43000030517578,28.40999984741211,30.030000686645508,31.399999618530273,32.36000061035156,28.6200008392334,24.670000076293945,-0.07,5.63,10.45,13.82,0.67,-13.23,false,true,false,-5.83,-3.54,-0.17,-1.46,-8.05,-11.25,5.76,9.17,10.62,15.28,8.72,-1.98,-4.99,13,true
f8c8a259-448b-4dbf-ba08-8bb8d692e56c,FIX,MYERS FRANKLIN,0001207002,,Director,2015-09-11,P,buy,4000,28.36,113440,0001179110-15-013252,2015-09-11,Industrials,Director,OPPORTUNISTIC,28.40999984741211,30.030000686645508,31.399999618530273,32.36000061035156,28.6200008392334,24.670000076293945,30.270000457763672,5.7,10.52,13.9,0.74,-13.16,6.55,true,true,true,2.43,6.01,4.64,-2.35,-5.75,1.34,3.27,4.51,9.26,3.09,-7.41,5.21,-9.54,17,true
9bb841ba-714e-4e1c-bbc7-5b3a8557f08d,FIX,MYERS FRANKLIN,0001207002,,Director,2015-11-13,P,buy,4000,29.83,119320,0001179110-15-014925,2015-11-16,Industrials,Director,OPPORTUNISTIC,29.899999618530273,30.729999542236328,29.280000686645508,25.280000686645508,29.43000030517578,32.75,31.079999923706055,2.78,-2.07,-15.45,-1.57,9.53,3.95,true,false,true,0.18,-4.38,-9.72,-0.02,0.73,1.96,2.6,2.31,-5.73,-1.55,8.8,1.99,0,0,false
80cdf03e-64ec-46f4-a4f6-7ec334222bb1,FIX,MYERS FRANKLIN,0001207002,,Director,2016-02-26,P,buy,4000,28.94,115760,0001179110-16-020359,2016-02-26,Industrials,Director,OPPORTUNISTIC,28.65999984741211,30.549999237060547,33.16999816894531,31.350000381469727,31,31.389999389648438,29.020000457763672,6.59,15.74,9.39,8.16,9.53,1.26,true,true,true,4.18,7.09,7.3,2.31,11.05,11.67,2.41,8.65,2.09,5.85,-1.52,-10.41,-2.13,3,true
d1175279-0f87-43a2-8522-2ec2b1bc3879,FIX,MYERS FRANKLIN,0001207002,,Director,2016-04-29,P,buy,4200,29.3,123060,0001179110-16-023438,2016-04-29,Industrials,Director,OPPORTUNISTIC,29.489999771118164,32,30.920000076293945,31.920000076293945,28.549999237060547,29.260000228881836,27.25,8.51,4.85,8.24,-3.19,-0.78,-7.6,true,true,false,1.7,-1.52,5.06,5.83,3.83,3.59,6.81,6.37,3.18,-9.02,-4.61,-11.19,0,0,true
516c5ed7-02c9-4878-9e5a-023d9ec9d7cb,FIX,MYERS FRANKLIN,0001207002,,Director,2016-08-29,P,buy,4000,28.57,114280,0001179110-16-029091,2016-08-29,Industrials,Director,OPPORTUNISTIC,28.549999237060547,29.149999618530273,28.75,33,34.599998474121094,34.04999923706055,38.650001525878906,2.1,0.7,15.59,21.19,19.26,35.38,true,true,true,-0.79,-2.67,0.97,3.62,5.02,8.59,2.89,3.37,14.62,17.57,14.24,26.79,-8.02,16,true
5eb54931-1157-4586-b8b4-3edc91c03c70,FIX,MYERS FRANKLIN,0001207002,,Director,2017-03-03,P,buy,3500,37.82,132370,0001179110-17-003819,2017-03-03,Industrials,Director,OPPORTUNISTIC,37.599998474121094,35.5,36.20000076293945,34.54999923706055,37.150001525878906,33.29999923706055,33.70000076293945,-5.59,-3.72,-8.11,-1.2,-11.44,-10.37,false,false,false,-1.3,0.15,2.07,1.59,3.5,3.18,-4.29,-3.87,-10.18,-2.79,-14.94,-13.55,-7.05,21,false
cdcbfb12-ddcc-42b5-bbdc-9dd444f46097,FIX,MYERS FRANKLIN,0001207002,,Director,2017-05-03,P,buy,4000,35.39,141560,0001179110-17-006475,2017-05-03,Industrials,Director,OPPORTUNISTIC,35.650001525878906,34.900001525878906,37.150001525878906,33.5,34.04999923706055,36.79999923706055,42.650001525878906,-2.1,4.21,-6.03,-4.49,3.23,19.64,false,false,true,2.39,1.56,3.71,3.78,5.8,7.66,-4.49,2.65,-9.74,-8.27,-2.57,11.98,-3.37,27,false
daef95cf-cc6d-498c-ac58-d298987d9999,FIX,MYERS FRANKLIN,0001207002,,Director,2017-07-31,P,buy,5482,33.58,184085.56,0001179110-17-010820,2017-07-31,Industrials,Director,OPPORTUNISTIC,33.29999923706055,33.70000076293945,35.70000076293945,42.650001525878906,42.75,43.849998474121094,43.900001525878906,1.2,7.21,28.08,28.38,31.68,31.83,true,true,true,-0.31,1.81,4.04,6.52,8.55,15.36,1.51,5.4,24.04,21.86,23.13,16.47,-2.25,10,true
95ce3172-35ef-4e8b-92b6-759e54c2a0e8,FIX,MYERS FRANKLIN,0001207002,,Director,2017-11-14,P,buy,3000,40.23,120690,0001179110-17-014113,2017-11-14,Industrials,Director,OPPORTUNISTIC,40.25,42.54999923706055,43.099998474121094,40.5,42.349998474121094,40.650001525878906,44.75,5.71,7.08,0.62,5.22,0.99,11.18,true,true,true,3.08,7.47,2.95,6.82,2.88,5.92,2.63,-0.39,-2.33,-1.6,-1.89,5.26,0,0,true
d77133c5-773e-4ae3-bdb5-d0539976b77f,FIX,MYERS FRANKLIN,0001207002,,Director,2018-02-27,P,buy,2500,41.87,104675,0001179110-18-002956,2018-02-27,Industrials,Director,OPPORTUNISTIC,41.349998474121094,41.25,42.20000076293945,46.400001525878906,45.95000076293945,54.349998474121094,56.599998474121094,-0.24,2.06,12.21,11.12,31.44,36.88,false,true,true,-4.11,-3.61,-1.97,-1.85,2.55,5.59,3.87,5.67,14.18,12.97,28.89,31.29,-3.63,24,true
