factor,level,n,avg_alpha_90d,avg_alpha_180d,hit_rate_90d,hit_rate_180d,t_score_90d,baseline_n,baseline_alpha_90d,alpha_delta_90d,recommended_pts
Role,Director,143,3.724,2.922,53.8,52.4,-0.11,322,3.895,-0.171,0
Role,CEO,73,6.396,3.825,68.5,58.9,1.38,322,3.895,2.502,5
Role,10% Owner,52,5.748,15.963,84.6,100,1.58,322,3.895,1.854,4
Role,Other,43,-2.169,-7.303,41.9,51.2,-1.88,322,3.895,-6.063,-12
Role,President,6,-2.345,-3.8,33.3,33.3,-1.17,322,3.895,-6.24,-12
Role,CFO,5,12.61,15.036,80,80,0.85,322,3.895,8.715,17
Trade Size,<$250K,118,2.827,1.276,54.2,46.6,-0.68,322,3.895,-1.068,-2
Trade Size,$250K–$500K,76,1.869,0.173,56.6,57.9,-1.05,322,3.895,-2.026,-4
Trade Size,$500K–$1M,43,8.965,10.733,65.1,76.7,1.75,322,3.895,5.07,10
Trade Size,$1M–$5M,66,4.33,7.447,71.2,78.8,0.22,322,3.895,0.436,1
Trade Size,$5M–$25M,16,6.929,7.805,75,75,1.12,322,3.895,3.035,6
Trade Size,>$25M,3,-1.217,7.97,33.3,66.7,-1.06,322,3.895,-5.111,-10
Sector,Financial Services,86,3.561,11.258,65.1,87.2,-0.25,322,3.895,-0.333,-1
Sector,Technology,59,4.214,-0.966,61,50.8,0.11,322,3.895,0.32,1
Sector,Industrials,48,5.249,4.384,60.4,54.2,0.55,322,3.895,1.354,3
Sector,Healthcare,35,2.69,5.025,54.3,62.9,-0.53,322,3.895,-1.205,-2
Sector,Communication Services,26,8.265,6.142,80.8,73.1,2.85,322,3.895,4.37,9
Sector,Utilities,25,-3.044,-5.838,32,28,-2.82,322,3.895,-6.939,-14
Sector,Consumer Cyclical,23,7.152,-1.661,69.6,52.2,0.86,322,3.895,3.258,7
Sector,Consumer Defensive,8,-3.309,-6.441,37.5,25,-1.53,322,3.895,-7.203,-14
Sector,Real Estate,6,4.91,2.868,66.7,50,0.12,322,3.895,1.015,2
Sector,Energy,4,4.362,2.095,25,25,0.05,322,3.895,0.468,1
Sector,Basic Materials,2,14.67,9.19,100,50,,322,3.895,10.775,22
Cluster,1 insider,294,3.655,3.648,61.6,60.2,-0.21,322,3.895,-0.24,0
Cluster,2–3 insiders,28,6.414,6.888,50,75,0.53,322,3.895,2.519,5
Local Insider,Local,217,5.023,4.328,59,59.9,0.86,322,3.895,1.128,2
Local Insider,Non-local,105,1.563,3.108,63.8,64.8,-1.36,322,3.895,-2.331,-5
Rel. Size,<1× median,138,2.204,2.816,62.3,58.7,-1.31,322,3.895,-1.691,-3
Rel. Size,1×–2× median,136,4.41,2.626,55.9,58.1,0.29,322,3.895,0.515,1
Rel. Size,2×–5× median,38,8.714,10.723,71.1,78.9,1.88,322,3.895,4.82,10
Rel. Size,>5× median,10,1.901,11.229,60,80,-0.77,322,3.895,-1.994,-4
Market (SPY 90d),SPY <−10%,10,18.907,14.714,80,80,1.83,322,3.895,15.012,25
Market (SPY 90d),SPY −10%–0%,67,2.78,3.787,56.7,62.7,-0.68,322,3.895,-1.115,-2
Market (SPY 90d),SPY 0%–10%,196,2.876,3.538,61.2,60.2,-0.78,322,3.895,-1.019,-2
Market (SPY 90d),SPY >10%,49,6.43,3.493,59.2,61.2,0.9,322,3.895,2.536,5
