==============================================================================================================
  UNCLASSIFIABLE INSIDER BACKTEST -- Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d * ln(n)  |  min n = 5  |  820 combinations ranked
  Source: output/unclassifiable_backtest.csv  |  Run: 2026-05-04
==============================================================================================================

  Baseline (all trades, no filter): n=2320  avg=+2.1%  hit=52%  score=16.18

 Rank  Role                Sector                      Size     DD          n   Hit180    Avg180a      Score
  ----------------------------------------------------------------------------------------------------------
    1  10% Owner           Consumer Cyclical           $100K+   any        30      77%     +43.4%     147.48
    2  10% Owner           Consumer Cyclical           $250K+   any        30      77%     +43.4%     147.48
    3  10% Owner           Consumer Cyclical           $500K+   any        29      76%     +43.7%     147.29
    4  10% Owner           Consumer Cyclical           $1M+     any        28      75%     +44.1%     147.11
    5  10% Owner           Consumer Cyclical           $5M+     any        13      62%     +55.0%     140.97
    6  all                 Consumer Cyclical           $25M+    any         6      50%     +53.2%      95.29
    7  10% Owner           Industrials                 $5M+     any         9      89%     +41.7%      91.57
    8  all                 Industrials                 $25M+    DD<5%       6      67%     +49.2%      88.21
    9  all                 Industrials                 $5M+     DD<2%      11      91%     +36.7%      88.05
   10  Director            Communication Services      $250K+   DD<2%       5      60%     +54.1%      87.11
   11  10% Owner           Industrials                 $5M+     DD<5%       7     100%     +42.8%      83.26
   12  10% Owner           Industrials                 $5M+     DD<2%       7     100%     +42.8%      83.26
   13  10% Owner           Consumer Cyclical           $100K+   DD<5%       7      71%     +40.6%      79.04
   14  10% Owner           Consumer Cyclical           $250K+   DD<5%       7      71%     +40.6%      79.04
   15  10% Owner           Consumer Cyclical           $500K+   DD<5%       7      71%     +40.6%      79.04
   16  10% Owner           Consumer Cyclical           $1M+     DD<5%       7      71%     +40.6%      79.04
   17  Director            Communication Services      $100K+   DD<2%       6      50%     +43.4%      77.83
   18  CEO                 Financial Services          $500K+   DD<2%      10      80%     +33.5%      77.18
   19  CEO                 Financial Services          $500K+   any        18      67%     +26.6%      76.90
   20  all                 Consumer Cyclical           $5M+     any        28      54%     +22.7%      75.62
   21  CEO                 Technology                  $250K+   DD<5%      16      69%     +26.6%      73.76
   22  CEO                 Technology                  $500K+   DD<5%      12      67%     +29.4%      72.94
   23  all                 Communication Services      $500K+   DD<2%      33      91%     +20.4%      71.37
   24  all                 Technology                  $250K+   DD<5%      91      64%     +15.6%      70.57
   25  all                 Industrials                 $500K+   DD<2%      62      66%     +16.8%      69.25
   26  all                 Industrials                 $5M+     DD<5%      14      71%     +25.5%      67.30
   27  Other/EVP           Technology                  $250K+   any         7      86%     +34.6%      67.25
   28  CEO                 Industrials                 $100K+   DD<2%      16      69%     +24.2%      67.14
   29  Director            all                         $250K+   DD<2%     308      75%     +11.4%      65.13
   30  all                 Communication Services      $250K+   DD<2%      40      88%     +17.5%      64.69
   31  CEO                 Financial Services          $250K+   DD<2%      12      67%     +26.0%      64.60
   32  all                 Industrials                 $5M+     any        21      62%     +21.1%      64.27
   33  Director            Communication Services      $500K+   DD<5%       8      50%     +30.6%      63.73
   34  Other/EVP           Technology                  $100K+   any        10      80%     +27.6%      63.45
   35  all                 Industrials                 $1M+     DD<2%      37      65%     +17.5%      63.14
   36  all                 Industrials                 $250K+   DD<2%      89      66%     +14.0%      62.82
   37  CEO                 Financial Services          $100K+   DD<2%      16      63%     +22.7%      62.81
   38  CEO                 Technology                  $250K+   any        22      64%     +20.2%      62.51
   39  CEO                 Technology                  $250K+   DD<2%      10      60%     +27.1%      62.37
   40  CEO                 Technology                  $500K+   DD<2%      10      60%     +27.1%      62.37
   41  all                 all                         $250K+   DD<2%     606      68%      +9.7%      62.25
   42  all                 all                         $500K+   DD<2%     426      69%     +10.3%      62.18
   43  CEO                 Technology                  $1M+     DD<5%       8      50%     +29.5%      61.43
   44  CEO                 Financial Services          $1M+     any        12      58%     +24.7%      61.31
   45  all                 Industrials                 $100K+   DD<2%     131      66%     +12.5%      61.06
   46  10% Owner           all                         $25M+    any        18      33%     +21.1%      60.96
   47  CEO                 Financial Services          $500K+   DD<5%      13      69%     +23.6%      60.43
   48  all                 Communication Services      $100K+   DD<2%      42      83%     +16.1%      60.30
   49  all                 Communication Services      $1M+     DD<2%      26     100%     +18.4%      59.93
   50  Director            Technology                  $250K+   DD<5%      56      61%     +14.9%      59.86
   51  CEO                 Technology                  $500K+   any        17      59%     +21.0%      59.58
   52  CEO                 all                         $500K+   DD<2%      84      58%     +13.4%      59.42
   53  Director            Industrials                 $500K+   DD<2%      27      67%     +18.0%      59.39
   54  CEO                 Financial Services          $100K+   DD<5%      29      52%     +17.6%      59.16
   55  CEO                 Financial Services          $1M+     DD<2%       6      83%     +33.0%      59.10
   56  Other/EVP           Technology                  $250K+   DD<5%       6      83%     +32.6%      58.41
   57  Other/EVP           Technology                  $500K+   any         6      83%     +32.6%      58.41
   58  Other/EVP           Technology                  $500K+   DD<5%       6      83%     +32.6%      58.41
   59  Director            Industrials                 $250K+   DD<2%      47      68%     +15.0%      57.94
