===================================================================================================================
  OPPORTUNISTIC INSIDER BACKTEST — Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d × ln(n)  |  min n = 5  |  195 combinations ranked
  Source: output/deep_analysis_v2.csv  |  Clean rows: 330  |  Run: 2026-05-04
===================================================================================================================

  Baseline (all trades, no filter): n=313  avg=+4.1%  med=+6.2%  hit=73%  score=23.29

   Rank  Role                  Sector                      Size     DD        n   Hit180    Avg180α    Med180α     Score
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────
      1  10% Owner             all sectors                 $100K+   <5%      38     100%     +18.0%     +17.3%     65.56
      2  10% Owner             Financial Services          $100K+   <5%      38     100%     +18.0%     +17.3%     65.56
      3  10% Owner             all sectors                 $250K+   <5%      37     100%     +18.1%     +17.4%     65.28
      4  10% Owner             Financial Services          $250K+   <5%      37     100%     +18.1%     +17.4%     65.28
      5  10% Owner             all sectors                 $100K+   any      52      98%     +16.0%     +16.0%     63.07
      6  10% Owner             Financial Services          $100K+   any      52      98%     +16.0%     +16.0%     63.07
      7  10% Owner             all sectors                 $250K+   any      50      98%     +16.0%     +16.1%     62.74
      8  10% Owner             Financial Services          $250K+   any      50      98%     +16.0%     +16.1%     62.74
      9  10% Owner             all sectors                 $500K+   <5%      25     100%     +18.7%     +19.3%     60.23
     10  10% Owner             Financial Services          $500K+   <5%      25     100%     +18.7%     +19.3%     60.23
     11  10% Owner             all sectors                 $1M+     <5%      18     100%     +20.3%     +21.3%     58.66
     12  10% Owner             Financial Services          $1M+     <5%      18     100%     +20.3%     +21.3%     58.66
     13  10% Owner             all sectors                 $500K+   any      32      97%     +16.7%     +15.4%     57.75
     14  10% Owner             Financial Services          $500K+   any      32      97%     +16.7%     +15.4%     57.75
     15  10% Owner             all sectors                 $100K+   <2%      22     100%     +18.7%     +18.1%     57.74
     16  10% Owner             Financial Services          $100K+   <2%      22     100%     +18.7%     +18.1%     57.74
     17  10% Owner             all sectors                 $250K+   <2%      21     100%     +18.8%     +19.0%     57.26
     18  10% Owner             Financial Services          $250K+   <2%      21     100%     +18.8%     +19.0%     57.26
     19  10% Owner             all sectors                 $1M+     any      24     100%     +17.9%     +19.2%     56.83
     20  10% Owner             Financial Services          $1M+     any      24     100%     +17.9%     +19.2%     56.83
     21  all                   Financial Services          $100K+   <5%      50      94%     +14.5%     +16.0%     56.77
     22  all                   Financial Services          $250K+   <5%      47      96%     +14.4%     +16.0%     55.31
     23  10% Owner             all sectors                 $500K+   <2%      15     100%     +19.6%     +20.7%     53.10
     24  10% Owner             Financial Services          $500K+   <2%      15     100%     +19.6%     +20.7%     53.10
     25  all                   Financial Services          $500K+   <5%      32      94%     +14.8%     +14.9%     51.14
     26  all                   Financial Services          $250K+   any      75      89%     +11.7%     +14.3%     50.68
     27  10% Owner             all sectors                 $1M+     <2%      11     100%     +21.0%     +21.3%     50.36
     28  10% Owner             Financial Services          $1M+     <2%      11     100%     +21.0%     +21.3%     50.36
     29  all                   Financial Services          $100K+   any      86      85%     +11.3%     +13.7%     50.15
     30  all                   all sectors                 $500K+   <2%      41      90%     +13.3%     +14.7%     49.57
     31  all                   Financial Services          $100K+   <2%      28      89%     +14.9%     +15.9%     49.55
     32  all                   Financial Services          $250K+   <2%      26      92%     +15.0%     +16.1%     48.89
     33  all                   all sectors                 $500K+   <5%      78      91%     +11.0%     +14.3%     47.93
     34  all                   Financial Services          $1M+     <5%      24      92%     +15.0%     +16.4%     47.71
     35  all                   Financial Services          $1M+     any      34      91%     +13.5%     +14.8%     47.65
     36  all                   Financial Services          $500K+   any      51      88%     +12.0%     +14.4%     47.37
     37  all                   Technology                  $500K+   <2%       9     100%     +20.5%      +9.2%     45.10
     38  all                   all sectors                 $250K+   <5%     118      87%      +9.3%     +12.5%     44.15
     39  all                   all sectors                 $250K+   <2%      67      87%     +10.3%     +13.5%     43.23
     40  all                   Financial Services          $500K+   <2%      19      89%     +14.5%     +15.1%     42.74
     41  all                   all sectors                 $500K+   any     125      86%      +8.2%     +12.3%     39.74
     42  all                   all sectors                 $100K+   <2%     105      81%      +8.5%      +9.2%     39.40
     43  all                   all sectors                 $1M+     <5%      57      89%      +9.7%     +14.3%     39.38
     44  all                   Financial Services          $1M+     <2%      15      87%     +14.2%     +15.1%     38.40
     45  all                   all sectors                 $100K+   <5%     182      80%      +7.1%      +8.0%     36.76
     46  all                   all sectors                 $1M+     <2%      30      87%     +10.8%     +14.4%     36.73
     47  Director              Technology                  $500K+   any       9     100%     +16.5%     +20.6%     36.17
     48  all                   all sectors                 $5M+     <5%      12      92%     +13.1%     +14.8%     32.62
     49  Director              all sectors                 $500K+   any      36      89%      +8.9%     +12.5%     31.79
