id,ticker,insider_name,insider_cik,officer_title,role,role_classified,transaction_date,total_value,shares,price_per_share,shares_owned_after,sector,price_entry,price_30d,price_60d,price_90d,price_120d,price_150d,price_180d,return_30d,return_60d,return_90d,return_120d,return_150d,return_180d,signal_correct_30d,signal_correct_90d,signal_correct_180d,spy_return_30d,spy_return_60d,spy_return_90d,spy_return_120d,spy_return_150d,spy_return_180d,adjusted_return_30d,adjusted_return_60d,adjusted_return_90d,adjusted_return_120d,adjusted_return_150d,adjusted_return_180d,max_drawdown_30d,days_to_min_30d,recovered_by_90d
7682c345-276f-4eba-9e44-16127c182495,EMR,APERTURE TECHNOLOGIES INC,0000940911,,Director,Director,2008-03-11,50000000,1000000,50,1000000,Industrials,50.220001220703125,51.560001373291016,56.20000076293945,56.2599983215332,49.06999969482422,49.029998779296875,44.630001068115234,2.67,11.91,12.03,-2.29,-2.37,-11.13,true,true,false,2.58,5.93,3.03,-5.89,-2.44,-4.23,0.09,5.98,9,3.6,0.07,-6.9,-3.39,8,true
6a4bf45e-710e-44c9-b1e0-cb80ca88dc4b,EMR,GOLDEN ARTHUR F,0001023260,,Director,Director,2015-08-07,197620,4000,49.405,57331,Industrials,49.189998626708984,46.849998474121094,46.20000076293945,49.150001525878906,48.5099983215332,47.29999923706055,46.09000015258789,-4.76,-6.08,-0.08,-1.38,-3.84,-6.3,false,false,false,-5.06,-4.89,1.06,0.19,-3.33,-8.01,0.3,-1.19,-1.14,-1.57,-0.51,1.71,-8.19,18,false
44ae5214-7a1c-4e50-97b1-e94f7a31e9d7,EMR,GOLDEN ARTHUR F,0001023260,,Director,Director,2020-03-10,257346,5000,51.4692,81898,Industrials,53.86000061035156,51.779998779296875,56.02000045776367,69.33000183105469,61.09000015258789,66.37000274658203,67.76000213623047,-3.86,4.01,28.72,13.42,23.23,25.81,false,true,true,-3.54,1.41,12.06,9.62,16,15.53,-0.32,2.6,16.66,3.8,7.23,10.28,-29.3,13,true
9ae9c5f6-38df-4671-8af2-6cae8761272c,EMR,GOLDEN ARTHUR F,0001023260,,Director,Director,2023-11-08,256920,3000,85.64,97504,Industrials,84.75,89.55000305175781,95.7699966430664,94.26000213623047,110.27999877929688,114.66999816894531,106.23999786376953,5.66,13,11.22,30.12,35.3,25.36,true,true,true,5.25,8.54,12.97,17.74,18.63,18.14,0.41,4.46,-1.75,12.38,16.67,7.22,0,0,true
9a3e9a7a-fa7f-41b2-b341-5402134d58db,EMR,EASTER WILLIAM H III,0001275630,,Director,Director,2023-11-08,245895.35,2900,84.7915,9858,Industrials,84.75,89.55000305175781,95.7699966430664,94.26000213623047,110.27999877929688,114.66999816894531,106.23999786376953,5.66,13,11.22,30.12,35.3,25.36,true,true,true,5.25,8.54,12.97,17.74,18.63,18.14,0.41,4.46,-1.75,12.38,16.67,7.22,0,0,true
b95bde92-9f22-4a32-ae71-834346f13091,EMR,McKelvey James Morgan Jr.,0001658460,,Insider,Insider (other),2023-11-09,684000,8000,85.5,11419,Industrials,85.19999694824219,89.72000122070312,95.7699966430664,104.08999633789062,110.1500015258789,114.66999816894531,107.4000015258789,5.31,12.41,22.17,29.28,34.59,26.06,true,true,true,6.49,9.4,14.81,17.95,19.56,19.2,-1.18,3.01,7.36,11.33,15.03,6.86,0,0,true
7f4915e6-f646-4cf9-9e7b-c6818f934cf9,AON,KNIGHT LESTER B,0001023262,,Director,Director,2014-02-04,2319150,30000,77.305,31000,Financial Services,77.4000015258789,86.55999755859375,81.12000274658203,85.1500015258789,89.76000213623047,90.52999877929688,84.38999938964844,11.83,4.81,10.01,15.97,16.96,9.03,true,true,true,7.29,5.1,7.43,10.15,12.61,10.55,4.54,-0.29,2.58,5.82,4.35,-1.52,-0.09,2,true
c5d6718b-5912-4616-b8ad-2c0076db0deb,AON,KNIGHT LESTER B,0001023262,,Director,Director,2015-08-04,5040200,50000,100.804,140044,Financial Services,100.19999694824219,91.44999694824219,91.5199966430664,94.69999694824219,94.52999877929688,90.70999908447266,87.58000183105469,-8.73,-8.66,-5.49,-5.66,-9.47,-12.59,false,false,false,-6.61,-5.21,0.48,-0.41,-3.99,-7.51,-2.12,-3.45,-5.97,-5.25,-5.48,-5.08,-10.79,21,false
59baada7-0de3-4c46-8df8-09b005a4b06a,AON,KNIGHT LESTER B,0001023262,,Director,Director,2018-02-06,6938500,50000,138.77,191044,Financial Services,139.9199981689453,144.22999572753906,139.00999450683594,140.3699951171875,141.6300048828125,139.6199951171875,143.77999877929688,3.08,-0.65,0.32,1.22,-0.21,2.76,true,true,true,1.85,-3.02,-0.82,3.07,2.34,5.76,1.23,2.37,1.14,-1.85,-2.55,-3,-2.77,2,true
26c04a71-fea5-40d9-bcef-74d12e693e85,AON,CAMPBELL JEFFREY C,0001196907,,Director,Director,2018-08-06,798289.8,5550,143.836,7084,Financial Services,143.77999877929688,147.72999572753906,155.52000427246094,158.17999267578125,162.72000122070312,141.8800048828125,166.8000030517578,2.75,8.17,10.02,13.17,-1.32,16.01,true,true,true,1.54,1.12,-3.95,-5.06,-14.2,-4.45,1.21,7.05,13.97,18.23,12.88,20.46,-2.3,7,true
